particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
DP Charges for Sale of TRENT on 24/02/2022,2022-02-24,NSE-EQ - Z,Journal Entry,15.93,0,3039.838516
DP Charges for Sale of BIOCON on 24/02/2022,2022-02-24,NSE-EQ - Z,Journal Entry,15.93,0,3023.908516
DP Charges for Sale of AUROPHARMA on 24/02/2022,2022-02-24,NSE-EQ - Z,Journal Entry,15.93,0,3007.978516
Net settlement for Equity with settlement number: 2022038,2022-02-24,NSE-EQ - Z,Book Voucher,0,2136.555005,5144.533521
Net settlement for Equity with settlement number: 2022040,2022-02-28,NSE-EQ - Z,Book Voucher,1964.743663,0,3179.789858
Funds added using payment gateway fromX with reference number IGANCOMEL9,2022-03-02,NSE-EQ - Z,Bank Receipts,0,50000,53179.789858
Being payment gateway charges debited forX,2022-03-02,NSE-EQ - Z,Journal Entry,10.62,0,53169.169858
Net settlement for Equity with settlement number: 2022041,2022-03-02,NSE-EQ - Z,Book Voucher,3045.538699,0,50123.631159
Net settlement for Equity with settlement number: 2022042,2022-03-03,NSE-EQ - Z,Book Voucher,4384.53209,0,45739.099069
Net settlement for Equity with settlement number: 2022043,2022-03-04,NSE-EQ - Z,Book Voucher,13073.389191,0,32665.709878
Net settlement for Equity with settlement number: 2022044,2022-03-07,NSE-EQ - Z,Book Voucher,12659.516819,0,20006.193059
DP Charges for Sale of NYKAA on 08/03/2022,2022-03-08,NSE-EQ - Z,Journal Entry,15.93,0,19990.263059
Securities Transaction Tax  on 2022-03-07 for 2022044,2022-03-08,NSE-EQ - Z,Book Voucher,13,0,19977.263059
Net settlement for Equity with settlement number: 2022045,2022-03-08,NSE-EQ - Z,Book Voucher,4431.036055,0,15546.227004
DP Charges for Sale of NYKAA on 08/03/2022,2022-03-09,NSE-EQ - Z,Journal Entry,15.93,0,15530.297004
Net settlement for Equity with settlement number: 2022046,2022-03-09,NSE-EQ - Z,Book Voucher,727.336095,0,14802.960909
Net settlement for Equity with settlement number: 2022047,2022-03-10,NSE-EQ - Z,Book Voucher,4119.083392,0,10683.877517
Net settlement for Equity with settlement number: 2022050,2022-03-15,NSE-EQ - Z,Book Voucher,1268.854208,0,9415.023309
DP Charges for Sale of MANAPPURAM on 22/03/2022,2022-03-22,NSE-EQ - Z,Journal Entry,15.93,0,9399.093309
Net settlement for Equity with settlement number: 2022054,2022-03-22,NSE-EQ - Z,Book Voucher,0,1221.37215,10620.465459
AMC for Demat Account for 28-06-2021 to 26-09-2021,2022-03-22,NSE-EQ - Z,Journal Entry,88.5,0,10531.965459
DP Charges for Sale of IDFCFIRSTB on 29/03/2022,2022-03-29,NSE-EQ - Z,Journal Entry,15.93,0,10516.035459
Net settlement for Equity with settlement number: 2022059,2022-03-29,NSE-EQ - Z,Book Voucher,0,12094.483217,22610.518676
Funds transferred back as part of quarterly settlement,2022-04-05,NSE-EQ - Z,Bank Payments,22610.52,0,-0.001324
DP Charges for Sale of ALOKINDS on 07/04/2022,2022-04-07,NSE-EQ - Z,Journal Entry,15.93,0,30063.374357
Net settlement for Equity with settlement number: 2022066,2022-04-07,NSE-EQ - Z,Book Voucher,0,5089.925681,5079.304357
Funds added using payment gateway fromX with reference number IGANIMALA8,2022-04-07,NSE-EQ - Z,Bank Receipts,0,25000,30079.304357
Being payment gateway charges debited forX,2022-04-07,NSE-EQ - Z,Journal Entry,10.62,0,-10.621324
Net settlement for Equity with settlement number: 2022085,2022-05-09,NSE-EQ - Z,Book Voucher,8280.006769,0,21783.367588
Net settlement for Equity with settlement number: 2022087,2022-05-11,NSE-EQ - Z,Book Voucher,17606.67574,0,4176.691848
Net settlement for Equity with settlement number: 2022088,2022-05-12,NSE-EQ - Z,Book Voucher,1464.972859,0,2711.718989
DP Charges for Sale of IDFCFIRSTB on 16/05/2022,2022-05-16,NSE-EQ - Z,Journal Entry,15.93,0,2695.788989
Funds added using payment gateway fromX with reference number IGANOYPLF2,2022-05-16,NSE-EQ - Z,Bank Receipts,0,40000,42695.788989
Being payment gateway charges debited forX,2022-05-16,NSE-EQ - Z,Journal Entry,10.62,0,42685.168989
Net settlement for Equity with settlement number: 2022090,2022-05-16,NSE-EQ - Z,Book Voucher,28386.530339,0,14298.63865
Net settlement for Equity with settlement number: 2022091,2022-05-17,NSE-EQ - Z,Book Voucher,946.051216,0,13352.587434
Net settlement for Equity with settlement number: 2022092,2022-05-18,NSE-EQ - Z,Book Voucher,5873.622691,0,7478.964743
DP Charges for Sale of ABCAPITAL on 18/05/2022,2022-05-18,NSE-EQ - Z,Journal Entry,15.93,0,7463.034743
Net settlement for Equity with settlement number: 2022093,2022-05-19,NSE-EQ - Z,Book Voucher,4955.468233,0,2507.56651
DP Charges for Sale of IDFCFIRSTB on 23/05/2022,2022-05-23,NSE-EQ - Z,Journal Entry,15.93,0,2491.63651
Net settlement for Equity with settlement number: 2022095,2022-05-23,NSE-EQ - Z,Book Voucher,0,10728.540235,13220.176745
Net settlement for Equity with settlement number: 2022096,2022-05-24,NSE-EQ - Z,Book Voucher,450.03057,0,12770.146175
Net settlement for Equity with settlement number: 2022097,2022-05-25,NSE-EQ - Z,Book Voucher,8643.48613,0,4126.660045
DP Charges for Sale of METROPOLIS on 26/05/2022,2022-05-26,NSE-EQ - Z,Journal Entry,15.93,0,4110.730045
Net settlement for Equity with settlement number: 2022098,2022-05-26,NSE-EQ - Z,Book Voucher,0,1365.548902,5476.278947
Net settlement for Equity with settlement number: 2022106,2022-06-07,NSE-EQ - Z,Book Voucher,2097.499199,0,3378.779748
Net settlement for Equity with settlement number: 2022110,2022-06-13,NSE-EQ - Z,Book Voucher,3276.783543,0,101.996205
Funds added using payment gateway fromX with reference number IGANUFWMR3,2022-06-18,NSE-EQ - Z,Bank Receipts,0,25000,25101.996205
Being payment gateway charges debited forX,2022-06-18,NSE-EQ - Z,Journal Entry,10.62,0,25091.376205
Net settlement for Equity with settlement number: 2022115,2022-06-20,NSE-EQ - Z,Book Voucher,25128.314473,0,-36.938268
DP Charges for Sale of NAUKRI on 07/07/2022,2022-07-07,NSE-EQ - Z,Journal Entry,15.93,0,-52.868268
Net settlement for Equity with settlement number: 2022128,2022-07-07,NSE-EQ - Z,Book Voucher,0,11692.549982,11639.681714
Net settlement for Equity with settlement number: 2022130,2022-07-11,NSE-EQ - Z,Book Voucher,4774.210673,0,6865.471041
Net settlement for Equity with settlement number: 2022137,2022-07-20,NSE-EQ - Z,Book Voucher,1050.555764,0,5814.915277
Net settlement for Equity with settlement number: 2022141,2022-07-26,NSE-EQ - Z,Book Voucher,2697.67821,0,3117.237067
Net settlement for Equity with settlement number: 2022142,2022-07-27,NSE-EQ - Z,Book Voucher,1559.577044,0,1557.660023
DP Charges for Sale of METROPOLIS on 03/08/2022,2022-08-03,NSE-EQ - Z,Journal Entry,15.93,0,1541.730023
Net settlement for Equity with settlement number: 2022147,2022-08-03,NSE-EQ - Z,Book Voucher,0,7848.159091,9389.889114
DP Charges for Sale of AUROPHARMA on 22/08/2022,2022-08-22,NSE-EQ - Z,Journal Entry,15.93,0,9373.959114
Net settlement for Equity with settlement number: 2022158,2022-08-22,NSE-EQ - Z,Book Voucher,0,2802.120688,12176.079802
Net settlement for Equity with settlement number: 2022159,2022-08-23,NSE-EQ - Z,Book Voucher,1304.616406,0,10871.463396
Funds blocked for SGB order SGB222302,2022-08-26,NSE-EQ - Z,Book Voucher,10294,0,577.463396
Funds added using payment gateway fromX with reference number IGAOHMOCL9,2022-09-14,NSE-EQ - Z,Bank Receipts,0,30000,30577.463396
Being payment gateway charges debited forX,2022-09-14,NSE-EQ - Z,Journal Entry,10.62,0,30566.843396
Net settlement for Equity with settlement number: 2022175,2022-09-15,NSE-EQ - Z,Book Voucher,11144.446459,0,19422.396937
DP Charges for Sale of IRCTC on 16/09/2022,2022-09-16,NSE-EQ - Z,Journal Entry,15.93,0,19406.466937
Net settlement for Equity with settlement number: 2022176,2022-09-16,NSE-EQ - Z,Book Voucher,5044.27064,0,14362.196297
Net settlement for Equity with settlement number: 2022177,2022-09-19,NSE-EQ - Z,Book Voucher,1235.163496,0,13127.032801
DP Charges for Sale of LTTS on 21/09/2022,2022-09-21,NSE-EQ - Z,Journal Entry,15.93,0,13111.102801
Net settlement for Equity with settlement number: 2022179,2022-09-21,NSE-EQ - Z,Book Voucher,0,9042.540219,22153.64302
Net settlement for Equity with settlement number: 2022180,2022-09-22,NSE-EQ - Z,Book Voucher,1042.655433,0,21110.987587
DP Charges for Sale of AUROPHARMA on 23/09/2022,2022-09-23,NSE-EQ - Z,Journal Entry,15.93,0,21095.057587
Net settlement for Equity with settlement number: 2022181,2022-09-23,NSE-EQ - Z,Book Voucher,20165.437744,0,929.619843
DP Charges for Sale of AUROPHARMA on 23/09/2022,2022-09-26,NSE-EQ - Z,Journal Entry,15.93,0,913.689843
DP Charges for Sale of VIPIND on 26/09/2022,2022-09-26,NSE-EQ - Z,Journal Entry,15.93,0,897.759843
DP Charges for Sale of ABFRL on 26/09/2022,2022-09-26,NSE-EQ - Z,Journal Entry,15.93,0,881.829843
Net settlement for Equity with settlement number: 2022182,2022-09-26,NSE-EQ - Z,Book Voucher,0,12092.151029,12973.980872
DP Charges for Sale of TATASTEEL on 27/09/2022,2022-09-27,NSE-EQ - Z,Journal Entry,15.93,0,12958.050872
Net settlement for Equity with settlement number: 2022183,2022-09-27,NSE-EQ - Z,Book Voucher,0,1953.906263,14911.957135
DP Charges for Sale of ITC on 28/09/2022,2022-09-28,NSE-EQ - Z,Journal Entry,15.93,0,14896.027135
Net settlement for Equity with settlement number: 2022184,2022-09-28,NSE-EQ - Z,Book Voucher,0,638.975927,15535.003062
DP Charges for Sale of VIPIND on 29/09/2022,2022-09-29,NSE-EQ - Z,Journal Entry,15.93,0,15519.073062
Net settlement for Equity with settlement number: 2022185,2022-09-29,NSE-EQ - Z,Book Voucher,0,6467.159591,21986.232653
DP Charges for Sale of MARUTI on 30/09/2022,2022-09-30,NSE-EQ - Z,Journal Entry,15.93,0,21970.302653
Net settlement for Equity with settlement number: 2022186,2022-09-30,NSE-EQ - Z,Book Voucher,0,25772.907438,47743.210091
Net settlement for Equity with settlement number: 2022189,2022-10-06,NSE-EQ - Z,Book Voucher,2001.379036,0,45741.831055
Funds transferred back as part of quarterly settlement,2022-10-07,NSE-EQ - Z,Bank Payments,44704.99,0,1036.841055
Being payment gateway charges debited forX,2022-10-10,NSE-EQ - Z,Journal Entry,10.62,0,1026.221055
Funds added using payment gateway fromX with reference number IGAOLIRTJ9,2022-10-10,NSE-EQ - Z,Bank Receipts,0,50000,51026.221055
Net settlement for Equity with settlement number: 2022191,2022-10-10,NSE-EQ - Z,Book Voucher,12167.357352,0,38858.863703
Net settlement for Equity with settlement number: 2022193,2022-10-12,NSE-EQ - Z,Book Voucher,5830.236916,0,33028.626787
Net settlement for Equity with settlement number: 2022194,2022-10-13,NSE-EQ - Z,Book Voucher,22926.53589,0,10102.090897
Net settlement for Equity with settlement number: 2022196,2022-10-17,NSE-EQ - Z,Book Voucher,713.935775,0,9388.155122
Net settlement for Equity with settlement number: 2022197,2022-10-18,NSE-EQ - Z,Book Voucher,1400.808874,0,7987.346248
DP Charges for Sale of ABFRL on 19/10/2022,2022-10-19,NSE-EQ - Z,Journal Entry,15.93,0,7971.416248
Net settlement for Equity with settlement number: 2022198,2022-10-19,NSE-EQ - Z,Book Voucher,7232.327311,0,739.088937
Net settlement for Equity with settlement number: 2022199,2022-10-20,NSE-EQ - Z,Book Voucher,344.97625,0,394.112687
Funds added using payment gateway fromX with reference number IGAONNWWY4,2022-10-24,NSE-EQ - Z,Bank Receipts,0,15000,15394.112687
Being payment gateway charges debited forX,2022-10-24,NSE-EQ - Z,Journal Entry,10.62,0,15383.492687
Net settlement for Equity with settlement number: 2022201,2022-10-24,NSE-EQ - Z,Book Voucher,12832.248943,0,2551.243744
Brokerage  on 2022-10-24 for 2022201,2022-10-25,NSE-EQ - Z,Journal Entry,0,0.0118,2551.255544
Net settlement for Equity with settlement number: 2022202,2022-10-25,NSE-EQ - Z,Book Voucher,1600.415553,0,950.839991
Funds added using payment gateway fromX with reference number IGAOOABRM9,2022-10-28,NSE-EQ - Z,Bank Receipts,0,15000,15950.839991
Being payment gateway charges debited forX,2022-10-28,NSE-EQ - Z,Journal Entry,10.62,0,15940.219991
Net settlement for Equity with settlement number: 2022204,2022-10-28,NSE-EQ - Z,Book Voucher,12691.028234,0,3249.191757
Net settlement for Equity with settlement number: 2022206,2022-11-01,NSE-EQ - Z,Book Voucher,3149.643607,0,99.54815
DP Charges for Sale of AMRUTANJAN on 07/11/2022,2022-11-07,NSE-EQ - Z,Journal Entry,15.93,0,83.61815
DP Charges for Sale of TITAN on 07/11/2022,2022-11-07,NSE-EQ - Z,Journal Entry,15.93,0,67.68815
Net settlement for Equity with settlement number: 2022210,2022-11-07,NSE-EQ - Z,Book Voucher,0,11152.820527,11220.508677
Net settlement for Equity with settlement number: 2022212,2022-11-10,NSE-EQ - Z,Book Voucher,10369.666561,0,850.842116
Net settlement for Equity with settlement number: 2022215,2022-11-15,NSE-EQ - Z,Book Voucher,692.635059,0,158.207057
Funds added using payment gateway fromX with reference number IGAORYFUR3,2022-11-23,NSE-EQ - Z,Bank Receipts,0,15000,15158.207057
Being payment gateway charges debited forX,2022-11-23,NSE-EQ - Z,Journal Entry,10.62,0,15147.587057
Net settlement for Equity with settlement number: 2022222,2022-11-24,NSE-EQ - Z,Book Voucher,1495.774413,0,13651.812644
Net settlement for Equity with settlement number: 2022224,2022-11-28,NSE-EQ - Z,Book Voucher,998.245336,0,12653.567308
AMC for Demat Account for 27-09-2021 to 26-12-2021,2022-12-13,NSE-EQ - Z,Journal Entry,88.5,0,12565.067308
AMC for Demat Account for 27-12-2021 to 27-03-2022,2022-12-13,NSE-EQ - Z,Journal Entry,88.5,0,12476.567308
Net settlement for Equity with settlement number: 2022236,2022-12-14,NSE-EQ - Z,Book Voucher,1348.65712,0,11127.910188
DP Charges for Sale of NESTLEIND on 15/12/2022,2022-12-15,NSE-EQ - Z,Journal Entry,15.93,0,31005.034195
Net settlement for Equity with settlement number: 2022237,2022-12-15,NSE-EQ - Z,Book Voucher,0,19893.054007,31020.964195
DP Charges for Sale of HONAUT on 16/12/2022,2022-12-16,NSE-EQ - Z,Journal Entry,15.93,0,30989.104195
Net settlement for Equity with settlement number: 2022238,2022-12-16,NSE-EQ - Z,Book Voucher,0,40199.123625,71188.22782
Net settlement for Equity with settlement number: 2022738 (T1),2022-12-16,NSE-EQ - Z,Book Voucher,5934.861147,0,65253.366673
Net settlement for Equity with settlement number: 2022239,2022-12-19,NSE-EQ - Z,Book Voucher,7180.970625,0,58072.396048
Net settlement for Equity with settlement number: 2022240,2022-12-20,NSE-EQ - Z,Book Voucher,6116.367251,0,51956.028797
Net settlement for Equity with settlement number: 2022242,2022-12-22,NSE-EQ - Z,Book Voucher,1998.986851,0,49957.041946
Net settlement for Equity with settlement number: 2022243,2022-12-23,NSE-EQ - Z,Book Voucher,42068.572134,0,7888.469812
Net settlement for Equity with settlement number: 2022743 (T1),2022-12-23,NSE-EQ - Z,Book Voucher,6957.277491,0,931.192321
Net settlement for Equity with settlement number: 2022246,2022-12-28,NSE-EQ - Z,Book Voucher,860.3907,0,70.801621
Funds auto-settled to the primary bank account  with reference number cf5395f81726d139f52000,2023-01-05,NSE-EQ - Z,Bank Payments,70.8,0,0.001621
Funds added using UPI fromX with reference number 301763930511,2023-01-17,NSE-EQ - Z,Bank Receipts,0,40000,40000.001621
Net settlement for Equity with settlement number: 2023012,2023-01-17,NSE-EQ - Z,Book Voucher,14547.571893,0,25452.429728
Net settlement for Equity with settlement number: 2023512 (T1),2023-01-17,NSE-EQ - Z,Book Voucher,5235.249353,0,20217.180375
Net settlement for Equity with settlement number: 2023016,2023-01-23,NSE-EQ - Z,Book Voucher,16837.2298,0,3379.950575
Net settlement for Equity with settlement number: 2023516 (T1),2023-01-23,NSE-EQ - Z,Book Voucher,1471.061236,0,1908.889339
Net settlement for Equity with settlement number: 2023018,2023-01-25,NSE-EQ - Z,Book Voucher,512.529002,0,1396.360337
Net settlement for Equity with settlement number: 2023019,2023-01-27,NSE-EQ - Z,Book Voucher,1127.755616,0,268.604721
DP Charges for Sale of HDFCLIFE on 03/02/2023,2023-02-03,NSE-EQ - Z,Journal Entry,15.93,0,252.674721
Net settlement for Equity with settlement number: 2023024,2023-02-03,NSE-EQ - Z,Book Voucher,0,3663.204225,3915.878946
DP Charges for Sale of NAUKRI on 08/02/2023,2023-02-08,NSE-EQ - Z,Journal Entry,15.93,0,3899.948946
Net settlement for Equity with settlement number: 2023027,2023-02-08,NSE-EQ - Z,Book Voucher,0,14751.917308,18651.866254
Net settlement for Equity with settlement number: 2023029,2023-02-10,NSE-EQ - Z,Book Voucher,7357.351173,0,11294.515081
Net settlement for Equity with settlement number: 2023030,2023-02-13,NSE-EQ - Z,Book Voucher,6500.959845,0,4793.555236
Net settlement for Equity with settlement number: 2023031,2023-02-14,NSE-EQ - Z,Book Voucher,2999.171457,0,1794.383779
Net settlement for Equity with settlement number: 2023034,2023-02-17,NSE-EQ - Z,Book Voucher,1584.183675,0,210.200104
DP Charges for Sale of SBICARD on 23/02/2023,2023-02-23,NSE-EQ - Z,Journal Entry,15.93,0,194.270104
Net settlement for Equity with settlement number: 2023038,2023-02-23,NSE-EQ - Z,Book Voucher,0,5331.103337,5525.373441
Net settlement for Equity with settlement number: 2023039,2023-02-24,NSE-EQ - Z,Book Voucher,5300.657535,0,224.715906
Funds added using UPI fromX with reference number 305902193405,2023-02-28,NSE-EQ - Z,Bank Receipts,0,25000,25224.715906
Net settlement for Equity with settlement number: 2023041,2023-02-28,NSE-EQ - Z,Book Voucher,8918.111369,0,16306.604537
DP Charges for Sale of TATAELXSI on 01/03/2023,2023-03-01,NSE-EQ - Z,Journal Entry,15.93,0,16290.674537
Net settlement for Equity with settlement number: 2023042,2023-03-01,NSE-EQ - Z,Book Voucher,0,6208.929185,22499.603722
Net settlement for Equity with settlement number: 2023043,2023-03-02,NSE-EQ - Z,Book Voucher,1800.593506,0,20699.010216
Net settlement for Equity with settlement number: 2023044,2023-03-03,NSE-EQ - Z,Book Voucher,2998.462534,0,17700.547682
Being fee for smallcase,2023-03-06,NSE-EQ - Z,Journal Entry,118,0,15955.399698
Funds added using UPI fromX with reference number 306512523901,2023-03-06,NSE-EQ - Z,Bank Receipts,0,62000,16073.399698
Net settlement for Equity with settlement number: 2023045,2023-03-06,NSE-EQ - Z,Book Voucher,63627.147984,0,-45926.600302
Net settlement for Equity with settlement number: 2023047,2023-03-09,NSE-EQ - Z,Book Voucher,6480.879509,0,9474.520189
Net settlement for Equity with settlement number: 2023048,2023-03-10,NSE-EQ - Z,Book Voucher,2173.460444,0,7301.059745
Net settlement for Equity with settlement number: 2023049,2023-03-13,NSE-EQ - Z,Book Voucher,3166.78929,0,4134.270455
DP Charges for Sale of PAUSHAKLTD on 14/03/2023,2023-03-14,NSE-EQ - Z,Journal Entry,15.93,0,4118.340455
Net settlement for Equity with settlement number: 2023050,2023-03-14,NSE-EQ - Z,Book Voucher,0,435.696319,4554.036774
Funds added using UPI fromX with reference number 307544240125,2023-03-16,NSE-EQ - Z,Bank Receipts,0,10000,14554.036774
DP Charges for Sale of SULA on 17/03/2023,2023-03-17,NSE-EQ - Z,Journal Entry,15.93,0,14538.106774
Net settlement for Equity with settlement number: 2023053,2023-03-17,NSE-EQ - Z,Book Voucher,13694.719197,0,843.387577
DP Charges for Sale of TATASTEEL on 20/03/2023,2023-03-20,NSE-EQ - Z,Journal Entry,15.93,0,827.457577
Net settlement for Equity with settlement number: 2023054,2023-03-20,NSE-EQ - Z,Book Voucher,0,2255.181573,3082.63915
DP Charges for Sale of TCS on 21/03/2023,2023-03-21,NSE-EQ - Z,Journal Entry,15.93,0,3066.70915
Net settlement for Equity with settlement number: 2023055,2023-03-21,NSE-EQ - Z,Book Voucher,0,21074.295294,24141.004444
Net settlement for Equity with settlement number: 2023056,2023-03-22,NSE-EQ - Z,Book Voucher,3435.667693,0,20705.336751
DP Charges for Sale of ABFRL on 24/03/2023,2023-03-24,NSE-EQ - Z,Journal Entry,15.93,0,20689.406751
DP Charges for Sale of INFY on 24/03/2023,2023-03-24,NSE-EQ - Z,Journal Entry,15.93,0,20673.476751
Net settlement for Equity with settlement number: 2023058,2023-03-24,NSE-EQ - Z,Book Voucher,13424.907192,0,7248.569559
Net settlement for Equity with settlement number: 2023059,2023-03-27,NSE-EQ - Z,Book Voucher,6521.725126,0,726.844433
AMC for Demat Account for 28-03-2022 to 26-06-2022,2023-03-29,NSE-EQ - Z,Journal Entry,88.5,0,638.344433
Funds added using UPI fromX with reference number 308990791177,2023-03-30,NSE-EQ - Z,Bank Receipts,0,60000,60638.344433
AMC for Demat Account for 27-06-2022 to 25-09-2022,2023-03-31,NSE-EQ - Z,Journal Entry,88.5,0,60549.844433
DP Charges for Sale of RAIN on 03/04/2023,2023-04-03,NSE-EQ - Z,Journal Entry,15.93,0,60533.914433
DP Charges for Sale of ITC on 03/04/2023,2023-04-03,NSE-EQ - Z,Journal Entry,15.93,0,60517.984433
Net settlement for Equity with settlement number: 2023063,2023-04-03,NSE-EQ - Z,Book Voucher,0,5355.194269,65873.178702
Net settlement for Equity with settlement number: 2023064,2023-04-05,NSE-EQ - Z,Book Voucher,11080.462867,0,54792.715835
Net settlement for Equity with settlement number: 2023065,2023-04-06,NSE-EQ - Z,Book Voucher,22887.897769,0,31904.818066
AMC for Demat Account for 26-09-2022 to 25-12-2022,2023-04-06,NSE-EQ - Z,Journal Entry,88.5,0,31816.318066
Funds transferred back as part of quarterly settlement  with reference number a11fd3b8b563ba810491ec,2023-04-06,NSE-EQ - Z,Bank Payments,25000.28,0,6816.038066
Funds added using UPI fromX with reference number 309717602957,2023-04-07,NSE-EQ - Z,Bank Receipts,0,63000,69816.038066
Being fee for smallcase,2023-04-10,NSE-EQ - Z,Journal Entry,118,0,69698.038066
Net settlement for Equity with settlement number: 2023066,2023-04-10,NSE-EQ - Z,Book Voucher,62127.738026,0,7570.30004
Net settlement for Equity with settlement number: 2023067,2023-04-11,NSE-EQ - Z,Book Voucher,2839.327262,0,4730.972778
DP Charges for Sale of MCX on 17/04/2023,2023-04-17,NSE-EQ - Z,Journal Entry,15.93,0,4715.042778
Net settlement for Equity with settlement number: 2023070,2023-04-17,NSE-EQ - Z,Book Voucher,0,7254.704456,11969.747234
Net settlement for Equity with settlement number: 2023071,2023-04-18,NSE-EQ - Z,Book Voucher,1363.073676,0,10606.673558
DP Charges for Sale of INFOBEAN on 19/04/2023,2023-04-19,NSE-EQ - Z,Journal Entry,15.93,0,10590.743558
Net settlement for Equity with settlement number: 2023072,2023-04-19,NSE-EQ - Z,Book Voucher,0,3266.905076,13857.648634
DP Charges for Sale of AMBIKCO on 27/04/2023,2023-04-27,NSE-EQ - Z,Journal Entry,15.93,0,13841.718634
Net settlement for Equity with settlement number: 2023078,2023-04-27,NSE-EQ - Z,Book Voucher,0,1505.326834,15347.045468
DP Charges for Sale of VAIBHAVGBL on 03/05/2023,2023-05-03,NSE-EQ - Z,Journal Entry,15.93,0,15331.115468
Net settlement for Equity with settlement number: 2023081,2023-05-03,NSE-EQ - Z,Book Voucher,0,25013.568838,40344.684306
Funds added using payment gateway fromX with reference number IGAPOBNEP5,2023-05-08,NSE-EQ - Z,Bank Receipts,0,70000,110344.684306
Being payment gateway charges debited forX,2023-05-08,NSE-EQ - Z,Journal Entry,10.62,0,110334.064306
Being fee for smallcase,2023-05-08,NSE-EQ - Z,Journal Entry,118,0,110216.064306
Net settlement for Equity with settlement number: 2023084,2023-05-08,NSE-EQ - Z,Book Voucher,63193.331364,0,47022.732942
Net settlement for Equity with settlement number: 2023085,2023-05-09,NSE-EQ - Z,Book Voucher,36670.830707,0,10351.902235
Net settlement for Equity with settlement number: 2023087,2023-05-11,NSE-EQ - Z,Book Voucher,2421.610298,0,7930.291937
AMC for Demat Account for 26-12-2022 to 26-03-2023,2023-05-15,NSE-EQ - Z,Journal Entry,88.5,0,7841.791937
Net settlement for Equity with settlement number: 2023089,2023-05-15,NSE-EQ - Z,Book Voucher,0,22566.811898,30408.603835
DP Charges for Sale of AMBIKCO on 15/05/2023,2023-05-15,NSE-EQ - Z,Journal Entry,15.93,0,30392.673835
Net settlement for Equity with settlement number: 2023094,2023-05-22,NSE-EQ - Z,Book Voucher,4031.175698,0,26361.498137
Funds added using UPI fromX with reference number 315109179502,2023-05-31,NSE-EQ - Z,Bank Receipts,0,200000,226361.498137
Funds added using UPI fromX with reference number 315109184628,2023-05-31,NSE-EQ - Z,Bank Receipts,0,50000,276361.498137
Being fee for smallcase,2023-06-01,NSE-EQ - Z,Journal Entry,118,0,276243.498137
Net settlement for Equity with settlement number: 2023102,2023-06-01,NSE-EQ - Z,Book Voucher,199218.512333,0,77024.985804
Net settlement for Equity with settlement number: 2023103,2023-06-02,NSE-EQ - Z,Book Voucher,29801.013974,0,47223.97183
Being fee for smallcase,2023-06-05,NSE-EQ - Z,Journal Entry,118,0,47105.97183
Funds added using UPI fromX with reference number 315622237243,2023-06-05,NSE-EQ - Z,Bank Receipts,0,70000,117105.97183
DP Charges for Sale of AFFLE on 05/06/2023,2023-06-05,NSE-EQ - Z,Journal Entry,15.93,0,117090.04183
DP Charges for Sale of TARSONS on 05/06/2023,2023-06-05,NSE-EQ - Z,Journal Entry,15.93,0,117074.11183
DP Charges for Sale of GRWRHITECH on 05/06/2023,2023-06-05,NSE-EQ - Z,Journal Entry,15.93,0,117058.18183
DP Charges for Sale of INFY on 05/06/2023,2023-06-05,NSE-EQ - Z,Journal Entry,15.93,0,117042.25183
DP Charges for Sale of ELECON on 05/06/2023,2023-06-05,NSE-EQ - Z,Journal Entry,15.93,0,117026.32183
Net settlement for Equity with settlement number: 2023104,2023-06-05,NSE-EQ - Z,Book Voucher,70496.781552,0,46529.540278
DP Charges for Sale of ITC on 08/06/2023,2023-06-08,NSE-EQ - Z,Journal Entry,15.93,0,46513.610278
Net settlement for Equity with settlement number: 2023107,2023-06-08,NSE-EQ - Z,Book Voucher,0,18145.598729,64659.209007
Net settlement for Equity with settlement number: 2023108,2023-06-09,NSE-EQ - Z,Book Voucher,19528.097876,0,45131.111131
DP Charges for Sale of CDSL on 12/06/2023,2023-06-12,NSE-EQ - Z,Journal Entry,15.93,0,45115.181131
Net settlement for Equity with settlement number: 2023109,2023-06-12,NSE-EQ - Z,Book Voucher,1354.991303,0,43760.189828
DP Charges for Sale of GRWRHITECH on 13/06/2023,2023-06-13,NSE-EQ - Z,Journal Entry,15.93,0,43744.259828
Net settlement for Equity with settlement number: 2023110,2023-06-13,NSE-EQ - Z,Book Voucher,0,23516.468707,67260.728535
Net settlement for Equity with settlement number: 2023112,2023-06-15,NSE-EQ - Z,Book Voucher,39476.492211,0,27784.236324
DP Charges for Sale of KEI on 20/06/2023,2023-06-20,NSE-EQ - Z,Journal Entry,15.93,0,27768.306324
DP Charges for Sale of PATANJALI on 20/06/2023,2023-06-20,NSE-EQ - Z,Journal Entry,15.93,0,27752.376324
DP Charges for Sale of MOTILALOFS on 20/06/2023,2023-06-20,NSE-EQ - Z,Journal Entry,15.93,0,27736.446324
Net settlement for Equity with settlement number: 2023115,2023-06-20,NSE-EQ - Z,Book Voucher,16290.792186,0,11445.654138
Net settlement for Equity with settlement number: 2023118,2023-06-23,NSE-EQ - Z,Book Voucher,2942.610655,0,8503.043483
Net settlement for Equity with settlement number: 2023122,2023-06-30,NSE-EQ - Z,Book Voucher,8329.389778,0,173.653705
